order_id,product_id,qty,unit_price
5001,1005,2,20.00
5001,1004,3,"14,50"
5001,1004,2,50.00
5002,1004,1,50.00
5003,1002,3,20.00
5004,1003,1,20.00
5005,1002,3,9.99
5006,1001,3,"14,50"
5006,1001,2,50.00
5007,1001,3,"14,50"
5007,1003,1,"14,50"
5007,1005,1,9.99
5008,1001,3,9.99
5008,1003,1,20.00
5009,1005,1,"14,50"
5010,1002,2,20.00
5010,1004,1,50.00
5011,1001,2,50.00
5012,1004,1,20.00
5012,1005,1,"14,50"
5013,1001,1,50.00
5013,1004,2,50.00
5014,1003,2,50.00
5015,1001,2,9.99
5015,1001,2,"14,50"
5015,1002,1,20.00
5016,1002,2,50.00
5016,1004,1,9.99
5017,1003,2,"14,50"
5017,1004,2,"14,50"
5018,1005,1,50.00
5018,1003,2,50.00
5019,1001,2,9.99
5019,1005,3,9.99
5020,1003,3,20.00
5021,1002,3,9.99
5022,1004,1,20.00
5023,1002,3,"14,50"
5024,1003,2,50.00
5024,1005,1,50.00
5025,1002,3,9.99
5025,1003,1,20.00
5026,1001,1,"14,50"
5026,1004,1,20.00
5027,1005,1,9.99
5028,1005,1,50.00
5028,1002,3,20.00
5028,1005,2,50.00
5029,1001,1,"14,50"
5030,1004,1,"14,50"
5031,1005,1,"14,50"
5032,1003,1,9.99
5032,1004,3,20.00
5032,1004,1,20.00
5033,1001,2,20.00
5034,1002,1,"14,50"
5035,1001,1,"14,50"
5036,1002,1,"14,50"
5037,1003,1,"14,50"
5038,1005,1,50.00
5038,1001,3,"14,50"
5038,1003,1,50.00
5039,1005,2,9.99
5039,1001,1,50.00
5040,1004,1,20.00
5041,1001,1,20.00
5042,1001,2,20.00
5043,1005,1,"14,50"
5043,1002,1,50.00
5044,1004,3,"14,50"
5045,1003,2,20.00
5045,1004,1,20.00
5046,1003,2,"14,50"
5047,1004,1,20.00
5047,1002,1,20.00
5048,1005,2,9.99
5049,1004,3,9.99
5049,1004,3,50.00
5050,1005,3,"14,50"
5050,1003,1,"14,50"
5050,1002,1,50.00
5051,1005,2,20.00
5051,1002,3,50.00
5052,1005,1,20.00
5053,1003,1,9.99
5054,1005,1,20.00
5054,1004,1,"14,50"
5054,1004,1,"14,50"
5055,1002,2,50.00
5055,1001,2,9.99
5056,1002,1,9.99
5057,1002,3,"14,50"
5057,1001,2,20.00
5058,1005,1,50.00
5059,1001,1,50.00
5060,1002,2,50.00
5061,1002,3,9.99
5062,1004,3,50.00
5063,1003,1,50.00
5064,1002,2,20.00
5064,1004,1,9.99
5064,1005,2,"14,50"
5065,1005,2,9.99
5065,1003,1,"14,50"
5066,1003,2,20.00
5066,1005,1,9.99
5067,1002,3,"14,50"
5067,1003,2,9.99
5068,1001,3,20.00
5069,1002,1,9.99
5070,1002,1,"14,50"
5070,1001,1,50.00
5071,1005,2,"14,50"
5071,1005,2,50.00
5071,1004,3,20.00
5072,1003,2,50.00
5073,1002,1,20.00
5074,1005,1,"14,50"
5074,1001,3,"14,50"
5074,1004,3,"14,50"
5075,1003,2,"14,50"
5075,1002,1,20.00
5075,1001,2,"14,50"
5076,1004,3,50.00
5077,1005,1,9.99
5077,1005,1,"14,50"
5077,1004,2,"14,50"
5078,1002,1,20.00
5079,1001,1,9.99
5080,1001,1,20.00
5080,1003,1,20.00
5081,1002,1,20.00
5082,1005,2,9.99
5082,1001,1,"14,50"
5083,1005,1,"14,50"
5083,1003,2,20.00
5083,1003,3,9.99
5084,1005,2,20.00
5084,1001,1,9.99
5084,1004,3,"14,50"
5085,1002,1,9.99
5086,1004,3,20.00
5086,1002,1,"14,50"
5087,1004,1,50.00
5088,1003,3,20.00
5089,1003,1,20.00
5089,1002,1,20.00
5090,1004,3,9.99
5091,1004,2,50.00
5092,1005,2,20.00
5092,1002,1,9.99
5093,1005,3,"14,50"
5093,1003,1,20.00
5093,1003,2,"14,50"
5094,1005,1,20.00
5094,1004,3,20.00
5094,1004,3,20.00
5095,1002,2,20.00
5096,1005,1,9.99
5097,1004,1,50.00
5098,1002,1,50.00
5098,1002,3,"14,50"
5098,1003,1,9.99
5099,1002,3,9.99
5100,1001,3,50.00
